nct_id,title,status,phase,study_type,conditions,lead_sponsor,start_date,completion_date,enrollment_count,sponsor_class,num_sites,fda_regulated_drug,minimum_age,maximum_age,accepts_healthy,sex,num_collaborators
NCT05427214,A Prospective Imaging Study of Target Definition and Simulation-free Planning Workflows on the Halcyon 4.0 System for Patients Receiving Radiation Therapy,COMPLETED,NA,INTERVENTIONAL,"Brain Cancer, Head and Neck Cancer, Lung Cancer, Gastric Cancer, Ovarian Cancer, Colon Cancer",Washington University School of Medicine,2022-08-19,2024-10-17,52.0,OTHER,1,False,18 Years,,False,ALL,1
NCT02716038,"A Single-arm, Phase II Study of Neoadjuvant MPDL3280A, Nab-paclitaxel and Carboplatin (MAC) in Resectable Non-small Cell Lung Cancer (NSCLC)",COMPLETED,PHASE2,INTERVENTIONAL,"Carcinoma, Non-Small-Cell Lung",Columbia University,2016-06-07,2022-10-01,39.0,OTHER,3,True,18 Years,,False,ALL,2
NCT06247826,Mechanisms of Resistance to Amivantamab in Patients With NSCLC With EGFR Exon 20 Insertion,RECRUITING,NA,INTERVENTIONAL,"Non-small Cell Lung Cancer, EGFR Exon 20 Insertion Mutation",Groupe Francais De Pneumo-Cancerologie,2024-01-15,2026-07-30,30.0,OTHER,18,False,18 Years,,False,ALL,0
NCT05418517,The Incidence of Hospital Acquired Pneumonia in Patients Who Undergo Temporary Tracheostomy With Oromaxillofacial Resection and Reconstruction for Head and Neck Cancer.,UNKNOWN,,OBSERVATIONAL,"Head and Neck Cancer, Tracheostomy Complication, Hospital-acquired Pneumonia, Surgery",Guy's and St Thomas' NHS Foundation Trust,2022-06,2022-10,193.0,OTHER,1,False,18 Years,,,ALL,1
NCT06014450,"Department of Oncology, Affiliated Hospital of Guizhou Medical University Affiliated Cancer Hospital of Guizhou Medical University",UNKNOWN,NA,INTERVENTIONAL,"Prophylactic Cranial Irradiation, Cumulative Incidence of Brain Metastases",Guizhou Medical University,2023-09-01,2025-08-01,144.0,OTHER,1,False,18 Years,80 Years,False,ALL,0
NCT00411593,Phase I-II Study of Avastin®+ Bortezomib for Patients With Recurrent or Refractory Non-Squamous NSCLC,WITHDRAWN,"PHASE1, PHASE2",INTERVENTIONAL,Lung Cancer,M.D. Anderson Cancer Center,2006-11,2007-05,0.0,OTHER,0,,18 Years,,False,ALL,2
NCT07244016,Clinical Study on Using T Cell Repertoire Technology to Predict the Therapeutic Effect of Tislelizumab + Standard Chemotherapy in the First-line Treatment of Extensive-stage Small Cell Lung Cancer,RECRUITING,,OBSERVATIONAL,Extensive-stage Small-cell Lung Cancer,Henan Cancer Hospital,2025-02-20,2027-07-01,40.0,OTHER_GOV,1,False,18 Years,,False,ALL,0
NCT00731952,Phase I Study of Induction Therapy With VELCADE and Vorinostat in Patients With Surgically Resectable Non-Small Cell Lung Cancer,COMPLETED,PHASE1,INTERVENTIONAL,Non Small Cell Lung Cancer,University of Virginia,2006-06,2014-03,21.0,OTHER,1,,18 Years,,False,ALL,0
NCT06873555,"Phase Ib/IIa Multicenter, Open-Label Study to Evaluate the Efficacy, Safety, and Pharmacokinetic Profile of DC05F01 in Patients with Recurrent/Refractory Ovarian Cancer and Other Advanced Solid Tumors",RECRUITING,"PHASE1, PHASE2",INTERVENTIONAL,"Solid Tumors, Ovarian Cancer, Small Cell Lung Cancer",Heronova Pharmaceuticals,2024-09-11,2026-08,60.0,INDUSTRY,2,False,18 Years,,False,ALL,0
NCT02020252,"A Pilot Investigation to Examine the Effect of a Multi-Media, Computer Based Tool (Talking Touchscreen) on Enrollment in Adult Oncology-Specific Clinical Trials at an Academic Medical Center",COMPLETED,,OBSERVATIONAL,"Lung Cancer, Gastric Cancer, Pancreatic Cancer",University of Chicago,2013-11-26,2018-12,120.0,OTHER,1,False,18 Years,,False,ALL,2
